id 	 label 	 feature
451	bin451	nuclear_DNA
452	bin452	nuclear_DNA
453	bin453	nuclear_DNA
454	bin454	nuclear_DNA
455	bin455	nuclear_DNA
456	bin456	nuclear_DNA
457	bin457	nuclear_DNA
458	bin458	nuclear_DNA
459	bin459	nuclear_DNA
460	bin460	nuclear_DNA
461	bin461	nuclear_DNA
462	bin462	nuclear_DNA
463	bin463	nuclear_DNA
464	bin464	nuclear_DNA
465	bin465	nuclear_DNA
466	bin466	nuclear_DNA
467	bin467	nuclear_DNA
468	bin468	nuclear_DNA
469	bin469	nuclear_DNA
470	bin470	nuclear_DNA
471	bin471	nuclear_DNA
472	bin472	nuclear_DNA
473	bin473	nuclear_DNA
474	bin474	nuclear_DNA
475	bin475	nuclear_DNA
476	bin476	nuclear_DNA
477	bin477	nuclear_DNA
478	bin478	nuclear_DNA
479	bin479	nuclear_DNA
480	bin480	nuclear_DNA
481	bin481	nuclear_DNA
482	bin482	nuclear_DNA
483	bin483	nuclear_DNA
484	bin484	nuclear_DNA
485	bin485	nuclear_DNA
486	bin486	nuclear_DNA
487	bin487	nuclear_DNA
488	bin488	nuclear_DNA
489	bin489	nuclear_DNA
490	bin490	nuclear_DNA
491	bin491	nuclear_DNA
492	bin492	nuclear_DNA
493	bin493	nuclear_DNA
494	bin494	nuclear_DNA
495	bin495	nuclear_DNA
496	bin496	nuclear_DNA
497	bin497	nuclear_DNA
498	bin498	nuclear_DNA
499	bin499	nuclear_DNA
500	bin500	nuclear_DNA
501	bin501	nuclear_DNA
502	bin502	nuclear_DNA
503	bin503	nuclear_DNA
504	bin504	nuclear_DNA
505	bin505	nuclear_DNA
506	bin506	nuclear_DNA
507	bin507	nuclear_DNA
508	bin508	nuclear_DNA
509	bin509	nuclear_DNA
510	bin510	nuclear_DNA
511	bin511	nuclear_DNA
512	bin512	nuclear_DNA
513	bin513	nuclear_DNA
514	bin514	nuclear_DNA
515	bin515	nuclear_DNA
516	bin516	nuclear_DNA
517	bin517	nuclear_DNA
518	bin518	nuclear_DNA
519	bin519	nuclear_DNA
520	bin520	nuclear_DNA
521	bin521	nuclear_DNA
522	bin522	nuclear_DNA
523	bin523	nuclear_DNA
524	bin524	nuclear_DNA
525	bin525	nuclear_DNA
526	bin526	nuclear_DNA
527	bin527	nuclear_DNA
528	bin528	nuclear_DNA
529	bin529	nuclear_DNA
530	bin530	nuclear_DNA
531	bin531	nuclear_DNA
532	bin532	nuclear_DNA
533	bin533	nuclear_DNA
534	bin534	nuclear_DNA
535	bin535	nuclear_DNA
536	bin536	nuclear_DNA
537	bin537	nuclear_DNA
538	bin538	nuclear_DNA
539	bin539	nuclear_DNA
540	bin540	nuclear_DNA
541	bin541	nuclear_DNA
542	bin542	nuclear_DNA
543	bin543	nuclear_DNA
544	bin544	nuclear_DNA
545	bin545	nuclear_DNA
546	bin546	nuclear_DNA
547	bin547	nuclear_DNA
548	bin548	nuclear_DNA
549	bin549	nuclear_DNA
